model_name,bias_dimension,mean,median,max,min,count,effect_size,ranking_instability_rate,ci_low,ci_high,significant_nonzero
OpenAssistant/reward-model-deberta-v3-base,confidence_framing,0.1641635,0.1641635,0.185659,0.142668,2,7.637110092810122,1.0,0.1427,0.1857,True
OpenAssistant/reward-model-deberta-v3-base,safety_style,-0.70095,-0.70095,-0.42516,-0.97674,2,-2.541607745023387,0.0,-0.9767,-0.4252,True
OpenAssistant/reward-model-deberta-v3-base,authority,-0.8469125,-0.8469125,-0.78942,-0.904405,2,-14.73083445666826,0.0,-0.9044,-0.7894,True
OpenAssistant/reward-model-deberta-v3-base,politeness,-1.1153065,-1.1153065,-0.648893,-1.58172,2,-2.391239747563053,0.0,-1.5817,-0.6489,True
OpenAssistant/reward-model-deberta-v3-base,sycophancy,-1.582902,-1.582902,-1.351855,-1.813949,2,-6.850995684860656,0.0,-1.8139,-1.3519,True
OpenAssistant/reward-model-deberta-v3-base,markdown_density,-2.1121825,-2.1121825,-1.75912,-2.465245,2,-5.982460612497788,0.0,-2.4652,-1.7591,True
OpenAssistant/reward-model-deberta-v3-base,citation_density,-2.2423875,-2.2423875,-2.235483,-2.249292,2,-324.7718878991919,0.0,-2.2493,-2.2355,True
OpenAssistant/reward-model-deberta-v3-base,format,-2.61092,-2.61092,-2.458689,-2.763151,2,-17.151040195492378,0.0,-2.7632,-2.4587,True
OpenAssistant/reward-model-deberta-v3-base,exploit_search,-2.6159464999999997,-2.6159464999999997,-2.514575,-2.717318,2,-25.80554199158536,0.0,-2.7173,-2.5146,True
OpenAssistant/reward-model-deberta-v3-base,length,-2.6535525,-2.6535525,-2.581594,-2.725511,2,-36.87615083694072,0.0,-2.7255,-2.5816,True
OpenAssistant/reward-model-electra-large-discriminator,confidence_framing,1.630746,1.630746,1.640176,1.621316,2,172.93170731707227,1.0,1.6213,1.6402,True
OpenAssistant/reward-model-electra-large-discriminator,authority,-3.0453004999999997,-3.0453004999999997,-2.683095,-3.407506,2,-8.407659464033534,0.0,-3.4075,-2.6831,True
OpenAssistant/reward-model-electra-large-discriminator,safety_style,-3.6667795,-3.6667795,-3.534395,-3.799164,2,-27.69795179949312,0.0,-3.7992,-3.5344,True
OpenAssistant/reward-model-electra-large-discriminator,sycophancy,-3.6879485,-3.6879485,-3.675988,-3.699909,2,-308.3440073575509,0.0,-3.6999,-3.676,True
OpenAssistant/reward-model-electra-large-discriminator,markdown_density,-3.692522,-3.692522,-3.295711,-4.089333,2,-9.30549304328761,0.0,-4.0893,-3.2957,True
OpenAssistant/reward-model-electra-large-discriminator,politeness,-3.7003255,-3.7003255,-3.693231,-3.70742,2,-521.576643879061,0.0,-3.7074,-3.6932,True
OpenAssistant/reward-model-electra-large-discriminator,format,-3.798585,-3.798585,-3.555118,-4.042052,2,-15.602052844944073,0.0,-4.0421,-3.5551,True
OpenAssistant/reward-model-electra-large-discriminator,citation_density,-4.3795174999999995,-4.3795174999999995,-3.93388,-4.825155,2,-9.827533589520632,0.0,-4.8252,-3.9339,True
OpenAssistant/reward-model-electra-large-discriminator,length,-4.831061,-4.831061,-4.19963,-5.462492,2,-7.650972156894419,0.0,-5.4625,-4.1996,True
OpenAssistant/reward-model-electra-large-discriminator,exploit_search,-5.585704,-5.585704,-5.406022,-5.765386,2,-31.086608564018633,0.0,-5.7654,-5.406,True
